8;8O-8E0;8H:8;;;;;;;
@>3=>7 <0:A8<0;L=>3> C@>2=O 2>4K =0 2024 3>4;;;;;;;
;;;;;;;
Group;Hmax;Criterion;Correlation;Pm;Method;Predictors;Equations
0;340;0.862;0.508;50.000;BayesianRidge;S_2802, Smax, H_2802, X, X1, X2, X3, Xs, L_max, L_2802, Q12, Q01, Q02, Y_sum; - 86.381 + 0.036*S_2802 + 0.76*Smax + 0.382*H_2802 - 0.927*X - 1.356*X1 + 1.735*X2 + 0.555*X3 + 1.426*Xs - 1.184*L_max + 2.623*L_2802 - 1.038*Q12 + 0.382*Q01 + 0.645*Q02 - 0.127*Y_sum
1;206;0.871;0.491;50.000;ExtraTreesRegressor;;
1;202;0.876;0.482;53.333;StackingRegressorRidge;;
1;235;0.879;0.478;50.000;HuberRegressor;Smax, H_2802, X, X1, X3, L_max, Y_sum; - 101.773 + 0.941*Smax + 0.539*H_2802 + 0.314*X - 0.028*X1 + 0.46*X3 + 1.461*L_max + 0.193*Y_sum
1;231;0.879;0.476;53.333;QuantileRegressor;Smax, H_2802, X, X1, X3, L_max; - 83.227 + 0.934*Smax + 0.51*H_2802 + 0.302*X - 0.035*X1 + 0.457*X3 + 1.44*L_max
0;374;0.881;0.474;50.000;HuberRegressor;S_2802, Smax, H_2802, X, X1, X2, X3, Xs, L_max, L_2802, Q12, Q01, Q02, Y_sum; - 106.737 - 0.104*S_2802 + 0.927*Smax + 0.516*H_2802 - 0.745*X - 1.168*X1 + 1.611*X2 + 0.576*X3 + 1.129*Xs - 1.542*L_max + 2.933*L_2802 - 2.759*Q12 - 0.583*Q01 + 0.267*Q02 + 4.144*Y_sum
1;223;0.883;0.469;53.333;OMP5;Smax, H_2802, X, X3, L_max; - 84.847 + 0.86*Smax + 0.361*H_2802 + 0.438*X + 0.488*X3 + 1.476*L_max
1;223;0.883;0.469;53.333;OMPCV;Smax, H_2802, X, X3, L_max; - 84.847 + 0.86*Smax + 0.361*H_2802 + 0.438*X + 0.488*X3 + 1.476*L_max
1;204;0.885;0.466;56.667;HistGradientBoostingRegressor;;
1;223;0.885;0.465;53.333;Lars6;Smax, H_2802, X, X1, X3, L_max; - 77.987 + 0.837*Smax + 0.343*H_2802 + 0.44*X - 0.003*X1 + 0.481*X3 + 1.442*L_max
1;223;0.886;0.464;53.333;LarsCV;Smax, H_2802, X, X1, X3, L_max; - 76.63 + 0.832*Smax + 0.34*H_2802 + 0.441*X - 0.003*X1 + 0.479*X3 + 1.435*L_max
